Country,Population,Birth_Rate,Life_expectancy,Latitude,Longitude,continent,date,total_cases,total_deaths,total_vaccinations,total_tests,new_cases,2022_Population,2020_Population,Rank,Growth_Rate,Area,Density
United States,"328,239,523",11.6,78.5,37.09024,-95.712891,North America,12/23/2020,18590121,331223,2621655,245596020,222507,338289857,335942003,3,1.0038,9372610,36.0935
Latvia,"1,912,789",10,74.7,56.879635,24.603189,Europe,12/23/2020,33484,479,27,813324,1145,1850651,1897052,151,0.9876,64559,28.666
Israel,"9,053,300",20.8,82.8,31.046051,34.851612,Asia,12/23/2020,385022,3150,139921,7343392,2535,9038309,8757489,98,1.0155,20770,435.1617
Liechtenstein,"38,019",9.9,83,47.1410392,9.520935,Europe,12/23/2020,1950,31,0,19613,59,39327,38756,216,1.0074,160,245.7937
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/23/2020,45455,421,99,2633926,523,5434319,5379839,120,1.0058,323802,16.7828
Bahrain,"1,501,635",13.99,77.2,26.0667,50.5577,Asia,12/23/2020,90817,350,38965,2282216,183,1472233,1477469,154,1.0061,765,1924.4876
Canada,"36,991,981",10.1,81.9,56.130366,-106.346771,North America,12/23/2020,536667,15597,35547,17140068,6689,38454327,37888705,39,1.0078,9984670,3.8513
Switzerland,"8,574,832",10,83.6,46.818188,8.227512,Europe,12/23/2020,423299,7203,430,3102552,5033,8740472,8638613,101,1.0056,41284,211.7157
Chile,"18,952,038",12.43,80,-35.675147,-71.542969,South America,12/24/2020,594152,16303,420,6205335,3238,19603733,19300315,65,1.0057,756102,25.9274
Liechtenstein,"38,019",9.9,83,47.1410392,9.520935,Europe,12/24/2020,2000,32,0,19807,50,39327,38756,216,1.0074,160,245.7937
Canada,"36,991,981",10.1,81.9,56.130366,-106.346771,North America,12/24/2020,543020,15740,45745,17269154,6353,38454327,37888705,39,1.0078,9984670,3.8513
Israel,"9,053,300",20.8,82.8,31.046051,34.851612,Asia,12/24/2020,389678,3171,213330,7441446,4656,9038309,8757489,98,1.0155,20770,435.1617
Latvia,"1,912,789",10,74.7,56.879635,24.603189,Europe,12/24/2020,34754,486,30,824921,1270,1850651,1897052,151,0.9876,64559,28.666
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/24/2020,45931,421,111,2640015,476,5434319,5379839,120,1.0058,323802,16.7828
